imagen,link,nombre,precio
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/t/ft-earthborne-protectores-del-valle-2.jpg,https://zacatrus.es/earthborne-rangers-protectores-del-valle.html,"
                                Earthborne Rangers: Protectores del Valle                            ","36,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/a/d/adamastor_resultado.jpg,https://zacatrus.es/adamastor.html,"
                                Adamastor                            ","17,99 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/l/c/lcda_juego_bazas_resultado.jpg,https://zacatrus.es/la-comunidad-del-anillo-el-juego-de-bazas.html,"
                                La Comunidad del Anillo: El Juego de Bazas                            ","22,49 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/k/i/kingdom_legacy.jpg,https://zacatrus.es/kingdom-legacy.html,"
                                Kingdom Legacy                            ","14,40 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/o/cortesanos_1.jpg,https://zacatrus.es/cortesanos.html,"
                                Cortesanos                            ","18,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/o/fotocajacacaculopedopis.jpg,https://zacatrus.es/cacaculopedopis.html,"
                                CacaCuloPedoPis                            ","13,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego.mini-rogue_web-1024x1024.jpg,https://zacatrus.es/mini-rogue.html,"
                                Mini Rogue                            ","20,65 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/r/critter_kitchen.jpg,https://zacatrus.es/critter-kitchen.html,"
                                Critter Kitchen                            ","36,00 €"
,#,,
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-paquetes-de-refuerzo-ursula-s-return-ingles-lorcana.jpg,https://zacatrus.es/lorcana-ursula-s-return-booster.html,"
                                Lorcana - Ursula's Return: Booster                            ","4,80 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/d/i/diluvio_render_resultado.jpg,https://zacatrus.es/diluvio.html,"
                                Diluvio                            ","24,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/t/ft_brassbir-400x400_3.jpg,https://zacatrus.es/brass-birmingham-deluxe.html,"
                                Brass: Birmingham Deluxe                            ","72,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-paquetes-de-refuerzo-24-unidades-shimmering-skies-ingles-disney-lorcana-tcg_resultado.jpg,https://zacatrus.es/lorcana-shimmering-skies-booster.html,"
                                Lorcana - Shimmering Skies: Booster                            ","4,80 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-play-hit_resultado.jpg,https://zacatrus.es/play-hit.html,"
                                Play'Hit                            ","17,99 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/d/i/diaspora-zero-3d_resultado.jpg,https://zacatrus.es/diaspora-zero.html,"
                                Diáspora Zero                            ","7,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-trio_resultado.jpg,https://zacatrus.es/trio.html,"
                                Trio                            ","11,69 €"
,#,,
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/l/i/listillo-caja-render-min.jpg,https://zacatrus.es/listillo.html,"
                                Listillo                            ","19,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/o/n/one-piece-nakama-friends-enemies-en-espanol-juego-de-mesa-de-tcg-factory.jpg,https://zacatrus.es/one-piece-nakama-amigos-y-enemigos.html,"
                                One Piece Nakama: Amigos y Enemigos                            ","22,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/m/o/mock-up-mosquito.jpg,https://zacatrus.es/mosquito-2024.html,"
                                Mosquito                            ","12,15 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/b/a/batallahoth_resultado.jpg,https://zacatrus.es/star-wars-la-batalla-de-hoth.html,"
                                Star Wars: La Batalla de Hoth                            ","44,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/a/s/astroknights.jpg,https://zacatrus.es/astro-knights.html,"
                                Astro Knights                            ","40,45 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/b/o/bosque_encantado.jpg,https://zacatrus.es/bosque-encantado.html,"
                                Bosque Encantado                            ","15,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/s/p/spoilers__travel_edition.jpeg,https://zacatrus.es/spoilers-travel-edition.html,"
                                Spoilers: Travel Edition                            ","7,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-carcassonne.jpeg,https://zacatrus.es/carcassonne.html,"
                                Carcassonne                            ","26,99 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/7/w/7wonders-duel.png,https://zacatrus.es/7-wonders-duel.html,"
                                7 Wonders Duel                            ","26,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/o/codigo-secreto_1.jpg,https://zacatrus.es/codigo-secreto.html,"
                                Código secreto                            ","22,49 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/t/ft-kl-tierras-lejanas-600x814.jpg,https://zacatrus.es/kingdom-legacy-tierras-lejanas.html,"
                                Kingdom Legacy: Tierras Lejanas                            ","15,30 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/w/c/wc_3d_resultado.jpg,https://zacatrus.es/criaturas-maravillosas.html,"
                                Criaturas Maravillosas                            ","62,90 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/_/t/_trg-122abr_abra_palabra_resultado.jpg,https://zacatrus.es/abra-palabra.html,"
                                Abra Palabra                            ","12,55 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/t/ft-critter-kitchen-a-la-carta.jpg,https://zacatrus.es/critter-kitchen-a-la-carta.html,"
                                Critter Kitchen: A la Carta                            ","22,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/f/l/fliptown-pistolero-solitario.jpg,https://zacatrus.es/fliptown-pistolero-solitario.html,"
                                Fliptown: Pistolero Solitario                            ","10,80 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/u/n/unmatched-the-witcher-realms-fall-en-espanol-juego-de-mesa-tcg-factory_resultado.jpg,https://zacatrus.es/unmatched-the-witcher-realms-fall.html,"
                                Unmatched The Witcher: Realms Fall                            ","43,20 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/u/n/unmatched-the-witcher-steel-silver-en-espanol-juego-de-mesa-tcg-factory_resultado.jpg,https://zacatrus.es/unmatched-the-witcher-steel-and-silver.html,"
                                Unmatched The Witcher: Steel & Silver                            ","43,20 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/t/a/tapete-mockup-elria_resultado.jpg,https://zacatrus.es/mundo-abierto-elria-tapete-de-juego.html,"
                                Mundo Abierto: Elria - Tapete de juego                            ","15,25 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/d/a/darkquarterlostnight.jpg,https://zacatrus.es/the-dark-quarter-lost-to-the-night.html,"
                                The Dark Quarter: Lost to the Night                            ","36,85 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/cathood-family-and-friends.png,https://zacatrus.es/cathood-family-and-friends.html,"
                                Cathood: Family and Friends                            ","9,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/a/v/aventura-z-2-_heroes.png,https://zacatrus.es/aventura-z-vol-2-heroes.html,"
                                Aventura Z: Vol. 2 Héroes                            ","26,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-dinofiesta.jpg,https://zacatrus.es/dino-fiesta.html,"
                                Dino Fiesta                            ","12,15 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-formula.jpg,https://zacatrus.es/formula.html,"
                                Fórmula                            ","13,45 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-extincion.png,https://zacatrus.es/extincion.html,"
                                ¡Extinción!                            ","14,35 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/e/n/ensaladadepuntos_caja.png,https://zacatrus.es/ensalada-de-puntos.html,"
                                Ensalada de puntos                            ","12,59 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/-/p/-pre-venta-black-sonata.jpg,https://zacatrus.es/black-sonata.html,"
                                Black Sonata                            ","27,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/p/i/pick_a_cerdo-caja.png,https://zacatrus.es/pick-a-cerdo-2024.html,"
                                Pick a Cerdo                            ","6,76 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/b/a/banana-azul.jpg,https://zacatrus.es/bananazul.html,"
                                Bananazul                            ","7,48 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/caja_alakatrus-_render.jpg,https://zacatrus.es/alakatrus.html,"
                                Alakatrus                            ","9,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/caja_render.jpg,https://zacatrus.es/monstervania.html,"
                                Monstervania                            ","17,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/k/r/kryptex_box_3d.png,https://zacatrus.es/kryptex.html,"
                                Kryptex                            ","14,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-arcana-rising.jpg,https://zacatrus.es/arcana-rising.html,"
                                Arcana Rising                            ","14,98 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/t/h/tholos_2.jpg,https://zacatrus.es/tholos.html,"
                                Tholos (2ª ed.)                            ","12,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/l/o/loops-juego.jpg,https://zacatrus.es/loops.html,"
                                Loops                            ","11,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/2/4/24_horas-min.png,https://zacatrus.es/24h.html,"
                                24h                            ","12,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/e/l/el_portero_baldomero_1.jpg,https://zacatrus.es/el-portero-baldomero.html,"
                                El Portero Baldomero                            ","14,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/_/t/_trg-142pel_oc_anos_de_papel__papelillos_a_la_mar.jpg,https://zacatrus.es/oceanos-de-papel-papelillos-a-la-mar.html,"
                                Océanos de Papel: Papelillos a la mar                            ","4,45 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/castle-combo.jpg,https://zacatrus.es/castle-combo.html,"
                                Castle Combo                            ","18,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/n/a/nacidosbrumametalicas.jpg,https://zacatrus.es/nacidos-de-la-bruma-fichas-metalicas.html,"
                                Nacidos de la Bruma - Fichas Metálicas                            ","13,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/s/t/strange-world.jpg,https://zacatrus.es/strange-world.html,"
                                Strange World                            ","14,35 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/_/n/_ndice_6_2.jpeg,https://zacatrus.es/the-mind.html,"
                                The Mind                            ","13,45 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-despistas_resultado.jpg,https://zacatrus.es/despistas.html,"
                                Despistas                            ","13,45 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/juego-bitoku-resutoran_resultado.jpg,https://zacatrus.es/bitoku-resutoran.html,"
                                Bitoku: Resutoran                            ","13,00 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/_/t/_trg-125pul_pulitzer_resultado.jpg,https://zacatrus.es/pulitzer.html,"
                                Pulitzer                            ","53,95 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/c/a/catbetweenus.jpg,https://zacatrus.es/cat-between-us.html,"
                                Cat Between Us                            ","13,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/p/i/piratasmaracaibocomandantes.jpg,https://zacatrus.es/piratas-de-maracaibo-comandantes.html,"
                                Piratas de Maracaibo: Comandantes                            ","31,49 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/_/t/_trg-143flo_pixies__flower_power.jpg,https://zacatrus.es/pixies-flower-power.html,"
                                Pixies: Flower Power                            ","4,45 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/h/e/hercules-juego.jpg,https://zacatrus.es/hercules.html,"
                                Hércules                            ","11,50 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/d/r/draftosaurus-marina.png,https://zacatrus.es/draftosaurus-marina.html,"
                                Draftosaurus: Marina                            ","10,36 €"
https://media.zacatrus.com/catalog/product/cache/ede91dc607ff58d6ff51aded48a7a72e/j/u/justone_resultado.jpg,https://zacatrus.es/just-one.html,"
                                Just One                            ","21,99 €"
